0,-553920,-437136,98534,-146967
1,-528202,-417738,118856,-136003
2,-511378,-409588,141692,-136721
3,-521448,-411970,143890,-129803
4,-521666,-403212,131850,-109715
5,-527874,-420716,118122,-142169
6,-524626,-425090,126004,-151525
7,-530448,-425080,136708,-131843
8,-550712,-435274,101130,-152835
9,-528644,-417306,122202,-132503
10,-504310,-402414,147200,-133513
11,-527714,-419610,135818,-134695
12,-555170,-432015,84584,-3
13,-555170,-432015,84584,-543
14,-555170,-432015,84584,-138852
15,-545134,-433977,79304,-159506
16,-526428,-422993,105376,-157356
17,-531678,-419135,117908,-136404
18,-555890,-434117,80722,-150026
19,-545280,-432145,82246,-157998
20,-520568,-415317,116574,-143504
21,-528214,-409285,127134,-119998
22,-552398,-430519,91534,-137092
23,-550032,-436961,84732,-161732
24,-533042,-422933,106156,-151582
25,-536470,-420675,116538,-137188
26,-553672,-432083,83986,-145948
27,-547516,-434971,79502,-165852
28,-521450,-412101,120568,-140960
29,-543098,-427631,113678,-137884
30,-551340,-429115,88646,-142344
31,-550926,-438973,79086,-163024
32,-526488,-420327,105284,-152262
33,-534140,-419965,117900,-133884
34,-557440,-432843,76236,-153362
35,-543960,-428359,83746,-156038
36,-524160,-417815,110306,-148086
37,-533858,-420535,120252,-135962
38,-556324,-435345,80368,-146282
39,-549558,-433517,85906,-153808
40,-529108,-420675,104788,-153696
41,-537098,-422361,111176,-142084
42,-557520,-434941,78818,-148962
43,-544784,-432775,79772,-162546
44,-527928,-421115,112190,-146998
45,-536376,-420291,117716,-127928
46,-563702,-439785,77942,-147448
47,-551758,-436361,80512,-164118
48,-527270,-422795,104820,-153234
49,-536046,-421901,117226,-131178
50,-558434,-436283,80100,-140208
51,-551816,-435337,80722,-158956
52,-530592,-424183,107866,-151468
53,-536876,-427093,121418,-129024
54,-559074,-435355,88814,-138708
55,-550152,-434453,85304,-159588
56,-526576,-418961,116014,-146478
57,-536690,-422069,116534,-135368
58,-554834,-433115,88136,-138706
59,-552664,-435357,82026,-157694
60,-525434,-419509,113550,-146200
61,-530354,-417327,124052,-127674
62,-559148,-429953,84468,-146136
63,-546078,-430289,86332,-156476
64,-525998,-421941,114790,-148708
65,-540658,-421447,116774,-136118
66,-556530,-431743,83064,-147684
67,-545074,-429775,89126,-151150
68,-529548,-420933,107464,-149802
69,-534986,-419761,120918,-132146
70,-550806,-430359,88118,-141580
71,-546716,-430479,87532,-152484
72,-530012,-419605,108934,-154876
73,-530972,-419269,124126,-127640
74,-559216,-437839,79826,-146700
75,-547640,-435129,87352,-155098
76,-534088,-423867,110818,-146204
77,-543912,-424207,115144,-138564
78,-563916,-435235,80612,-147944
79,-544200,-431007,87296,-152888
80,-523724,-416633,117916,-138490
81,-532544,-416305,117922,-132914
82,-557658,-435527,78400,-150026
83,-550862,-437395,80028,-161218
84,-529270,-425037,103694,-159692
85,-538598,-426615,118524,-136788
86,-563272,-441375,78300,-147958
87,-552664,-435419,83648,-161500
88,-530554,-421547,109396,-148934
89,-543108,-426645,112964,-139204
90,-562806,-439479,77176,-150334
91,-552616,-436257,79786,-162198
92,-534548,-426555,105480,-155268
93,-544066,-431943,104910,-145952
94,-562232,-440897,77028,-152396
95,-546360,-433059,82432,-156980
96,-533252,-426935,100068,-159524
97,-537512,-423493,115976,-138024
98,-562178,-438581,75058,-151462
99,-555374,-435037,81014,-164362
100,-531634,-423837,104662,-150356
101,-515520,-418753,108760,-162380
102,-499466,-410741,133558,-151982
103,-505124,-407045,154596,-126178
104,-530142,-421277,120886,-135968
105,-517946,-418489,121856,-157728
106,-502852,-410749,122352,-159170
107,-512644,-416433,139684,-132544
108,-530252,-420001,137620,-128352
109,-522860,-423895,116516,-155014
110,-507062,-418895,96358,-170932
111,-513458,-411885,137350,-135154
112,-533528,-418699,147064,-123050
113,-526608,-424531,115386,-154346
114,-509818,-423741,92270,-180950
115,-520868,-420307,126550,-146724
116,-531494,-419021,146266,-119994
117,-521916,-423135,110148,-160566
118,-502980,-415621,98348,-176734
119,-515670,-414363,130070,-144598
120,-530324,-417409,142456,-120810
121,-519464,-422625,112204,-159902
122,-505896,-416151,102950,-171552
123,-511782,-413223,136264,-137978
124,-530036,-416541,138242,-124382
125,-515006,-416005,123408,-147444
126,-500934,-408769,114882,-167854
127,-510678,-408989,137770,-137690
128,-529258,-420311,119912,-139876
129,-515376,-418353,107578,-158328
130,-501184,-408905,127704,-156244
131,-508874,-409949,144906,-133190
132,-531016,-420865,114558,-143210
133,-519272,-417885,111286,-154436
134,-501058,-410155,138972,-154134
135,-512232,-415655,141168,-137486
136,-532052,-423215,108260,-145906
137,-521840,-421571,103882,-162618
138,-497636,-407745,136046,-147256
139,-510058,-407969,144810,-133568
140,-527996,-420877,106418,-142124
141,-514812,-417033,112194,-152150
142,-497622,-409817,135750,-152528
143,-514702,-415475,136196,-141758
144,-536138,-427603,96166,-154218
145,-519732,-421417,106984,-161244
146,-500536,-409981,136284,-152202
147,-510860,-411839,141740,-131244
148,-533020,-423649,102060,-151926
149,-518990,-414831,119902,-149246
150,-498828,-406335,141380,-141360
151,-511838,-411321,141568,-138950
152,-532334,-423017,102850,-152742
153,-522210,-419977,109464,-158902
154,-500930,-413333,133742,-156656
155,-507118,-408937,143094,-135754
156,-527962,-420903,103594,-151354
157,-521102,-418753,113160,-159176
158,-499152,-405509,143028,-144672
159,-509880,-408937,147722,-126956
160,-530818,-424075,106270,-149974
161,-517160,-418059,114772,-155822
162,-497580,-405355,144764,-142300
163,-507902,-406541,144270,-132602
164,-530842,-421103,106950,-147010
165,-516932,-418771,114264,-155098
166,-498684,-410095,136206,-150280
167,-508678,-409899,142388,-136434
168,-534336,-423847,107474,-143522
169,-517984,-420571,114978,-154126
170,-498710,-409535,139168,-152150
171,-515228,-412419,142474,-131576
172,-532152,-426829,100328,-147170
173,-522238,-424477,108524,-164078
174,-501062,-408445,138698,-148772
175,-513868,-412757,143114,-139450
176,-533166,-424615,104560,-153990
