0,-234773,-464829,-189474,-327962
1,-256415,-470493,-218190,-326362
2,-246121,-472139,-200686,-322318
3,-229321,-474823,-174472,-334934
4,-239807,-470113,-192154,-332618
5,-252199,-467131,-214930,-323786
6,-245523,-473335,-198928,-321484
7,-231179,-479423,-172128,-341128
8,-241469,-474957,-196782,-338258
9,-257375,-470973,-219746,-326874
10,-248859,-473743,-199074,-330642
11,-229403,-476659,-174704,-334960
12,-240873,-469295,-194394,-331882
13,-256109,-471539,-221982,-329608
14,-247649,-473625,-205304,-331772
15,-226573,-475005,-171846,-340574
16,-241617,-470303,-197640,-342536
17,-257811,-471845,-222044,-338128
18,-245005,-472539,-204268,-331122
19,-224775,-470545,-171672,-338828
20,-237373,-465979,-188820,-331556
21,-249197,-464745,-216526,-320394
22,-243965,-468545,-200988,-320770
23,-227193,-471923,-175114,-333766
24,-245707,-475047,-196288,-341110
25,-257341,-469771,-217138,-330486
26,-248057,-469435,-203450,-332034
27,-228689,-476237,-172782,-339980
28,-246029,-478029,-197346,-335920
29,-259217,-479429,-222814,-330066
30,-256433,-479541,-215562,-343038
31,-233457,-479835,-178242,-342874
32,-239187,-470339,-192068,-333872
33,-247949,-462043,-210264,-318330
34,-243189,-466137,-195742,-318374
35,-227327,-471725,-165584,-326188
36,-236581,-466185,-185816,-333956
37,-255027,-469853,-216896,-325272
38,-251103,-474753,-206878,-330538
39,-230467,-476381,-175266,-346436
40,-240201,-474331,-196442,-341484
41,-257921,-472921,-224626,-332332
42,-247219,-469501,-203086,-330136
43,-228359,-471913,-175920,-330798
44,-237549,-472815,-195820,-337114
45,-252809,-465587,-221250,-331254
46,-251855,-475073,-212708,-330966
47,-229245,-473853,-175418,-335832
48,-243327,-474339,-195676,-339176
49,-254759,-470983,-213448,-321950
50,-243609,-466319,-202040,-323202
51,-220389,-468221,-166370,-331290
52,-235927,-470927,-190928,-336424
53,-251115,-468197,-215214,-322060
54,-250001,-474827,-208216,-333116
55,-227157,-470635,-170060,-332944
56,-238409,-471723,-191968,-336390
57,-258517,-475539,-221464,-336110
58,-259069,-480543,-213946,-335682
59,-229565,-473343,-173808,-346542
60,-230023,-470235,-182700,-338490
61,-249007,-467687,-213310,-322642
62,-247663,-467023,-202728,-321820
63,-226941,-473675,-172558,-342782
64,-235751,-469939,-184466,-328426
65,-251533,-469515,-217862,-321132
66,-245769,-466097,-204170,-322944
67,-221093,-465371,-165624,-322054
68,-230873,-464725,-185054,-333906
69,-249741,-465833,-211344,-331014
70,-249871,-468067,-208584,-326762
71,-229659,-472559,-174294,-343294
72,-235299,-470453,-189778,-329824
73,-254691,-470207,-218248,-330118
74,-254717,-475903,-210912,-329428
75,-231285,-479995,-177412,-340706
76,-240317,-474911,-192198,-337144
77,-252623,-469409,-212870,-336010
78,-244803,-460629,-199582,-323904
79,-215971,-461703,-162442,-316154
80,-226827,-459671,-180230,-325048
81,-243885,-460825,-206970,-329464
82,-249563,-468939,-209256,-323682
83,-230247,-476093,-172964,-331316
84,-237907,-468967,-187280,-333252
85,-249427,-468525,-213456,-330590
86,-246525,-468175,-205774,-328574
87,-231459,-474971,-174612,-330526
88,-234057,-467937,-185084,-323712
89,-250691,-464721,-209564,-327860
90,-252309,-468655,-209258,-330324
91,-229361,-474883,-170542,-336408
92,-239255,-468193,-189526,-335752
93,-250205,-466049,-212518,-327016
94,-255781,-472753,-214482,-340498
95,-234661,-479339,-181452,-346904
96,-241137,-477377,-196878,-346100
97,-248063,-464743,-213950,-325166
98,-251735,-475333,-214628,-328200
99,-232253,-473617,-178956,-338206
100,-234959,-467847,-193868,-343984
101,-250929,-464501,-208710,-334434
102,-249635,-472333,-209140,-320566
103,-231027,-475671,-172000,-326952
104,-232949,-468499,-184628,-331034
105,-248647,-466165,-211882,-327904
106,-251937,-468551,-208982,-323320
107,-231843,-474083,-175182,-337910
108,-236287,-468237,-186110,-325564
109,-247257,-463937,-207928,-327264
110,-251835,-469679,-209348,-326626
111,-227489,-473387,-173408,-333898
112,-238151,-475621,-190994,-336496
113,-253043,-469189,-212686,-327106
114,-246997,-465677,-209168,-323614
115,-228287,-475187,-174270,-333024
