0,-315617,-492095,-267255,-358010
1,-330173,-507559,-280871,-360328
2,-297245,-501551,-235077,-364556
3,-302379,-497073,-246403,-366028
4,-311691,-497679,-269453,-355694
5,-327601,-508569,-282851,-346240
6,-300223,-503025,-236919,-354784
7,-307143,-502657,-245925,-365028
8,-309551,-490097,-261481,-339866
9,-314615,-493197,-267869,-338408
10,-302373,-504207,-237769,-373002
11,-301391,-496395,-239965,-372682
12,-307803,-490231,-262101,-353394
13,-315313,-493077,-271881,-353918
14,-294137,-498647,-229545,-357138
15,-304163,-499731,-242113,-355854
16,-318179,-496839,-264295,-344668
17,-319063,-494765,-272513,-346750
18,-299317,-502189,-233647,-361742
19,-308701,-505365,-247577,-367746
20,-313423,-492951,-265639,-356406
21,-316291,-491597,-265145,-347182
22,-298827,-498957,-232725,-354916
23,-303271,-498721,-237581,-357378
24,-317903,-499241,-264523,-359666
25,-325731,-499893,-274717,-356674
26,-298819,-499361,-233037,-366164
27,-306613,-500951,-246851,-362458
28,-319657,-496285,-270659,-354278
29,-320903,-495007,-273983,-347464
30,-294423,-496549,-230521,-358412
31,-302927,-501629,-240947,-364058
32,-314417,-495337,-261843,-356324
33,-324461,-498147,-272405,-351876
34,-301357,-502209,-234743,-358122
35,-305637,-503729,-242541,-368528
36,-314733,-495717,-256763,-355320
37,-314859,-490451,-264675,-344090
38,-305367,-509553,-238255,-372380
39,-301445,-494327,-235173,-347252
40,-316365,-497711,-263313,-345568
41,-324425,-502939,-277443,-357166
42,-299599,-504623,-234289,-355022
43,-304679,-502489,-241157,-361204
44,-307771,-486729,-252623,-335372
45,-306891,-481945,-256927,-339050
46,-306619,-512053,-244003,-370148
47,-304699,-503433,-240735,-357366
48,-309417,-495893,-261223,-354828
49,-315677,-490033,-266913,-345398
50,-294813,-495381,-228805,-351182
51,-296531,-490999,-234125,-353546
52,-318061,-497529,-269127,-347714
53,-318841,-494035,-271299,-340874
54,-298915,-506267,-237003,-371658
55,-300779,-499901,-243519,-362566
56,-313639,-492241,-261575,-351680
57,-323379,-500559,-280301,-358002
58,-300979,-502537,-236727,-359554
59,-303185,-499971,-240039,-359034
60,-314979,-494697,-263997,-349454
61,-322351,-496469,-273733,-349524
62,-306187,-510067,-242163,-367636
63,-309415,-508163,-246961,-369126
64,-318711,-499281,-268483,-360168
65,-324333,-499441,-280117,-357198
66,-299419,-503613,-233415,-358376
67,-302247,-498919,-245585,-369790
68,-319951,-502239,-269873,-356570
69,-319355,-489565,-266947,-345112
70,-288935,-488251,-222805,-348692
71,-271261,-500842,-189626,-6
72,-271261,-500842,-189626,-1423
73,-271261,-500842,-189626,-364110
74,-284235,-497088,-212370,-356526
75,-284895,-491154,-218880,-339470
76,-270573,-501464,-185002,-359488
77,-278997,-509968,-198076,-380098
78,-283629,-498692,-211516,-353828
79,-290591,-493934,-231202,-367566
80,-274165,-505822,-195406,-386480
81,-281135,-516070,-201692,-388162
82,-295807,-507826,-224850,-374082
83,-302865,-508150,-234216,-371616
84,-270883,-503188,-190586,-363638
85,-285341,-516556,-207546,-392742
