0,-507524,-425799,72177,-164905
1,-513854,-434699,72603,-153523
2,-509464,-424741,70853,-167017
3,-501120,-409591,67433,-181869
4,-503830,-420259,75493,-162269
5,-510348,-433545,72241,-154055
6,-507448,-421609,76719,-155885
7,-501462,-410163,68893,-175633
8,-500760,-419163,80341,-162077
9,-510112,-431905,77151,-146981
10,-506948,-419349,77879,-157477
11,-501932,-414221,65037,-182571
12,-507914,-424607,72773,-166741
13,-517920,-440585,71193,-156551
14,-511460,-421617,75853,-159987
15,-502586,-417617,63401,-182667
16,-505592,-423863,74569,-164477
17,-517830,-437055,68313,-155101
18,-509078,-418123,80021,-156745
19,-504660,-416581,62465,-187773
20,-510890,-428645,72145,-163885
21,-522208,-441651,67049,-155011
22,-514314,-424371,73461,-161989
23,-498870,-413735,73163,-175439
24,-499168,-419943,83881,-158495
25,-505444,-429743,81849,-143239
26,-497918,-410743,86269,-153103
27,-494262,-409133,69953,-179419
28,-500176,-421215,78835,-160641
29,-505824,-428627,80277,-145367
30,-502816,-412083,80149,-155617
31,-497546,-411043,66755,-177787
32,-505466,-424747,73009,-163875
33,-513984,-435921,74405,-150881
34,-511876,-422221,74421,-162683
35,-501466,-415319,67091,-181433
36,-507792,-428067,75377,-162811
37,-517498,-437911,70895,-153061
38,-512006,-421991,74183,-156249
39,-501616,-416805,65191,-182119
40,-503918,-423575,75761,-161431
41,-513846,-435081,70195,-153305
42,-510622,-418149,73921,-164137
43,-506166,-414789,63207,-184321
44,-505202,-423549,78601,-157991
45,-498872,-419513,67971,-174881
46,-505556,-430899,78895,-157889
47,-514830,-442751,70797,-151909
48,-511134,-430103,68415,-167207
49,-508548,-430875,57361,-188649
50,-515694,-442351,68067,-165447
51,-520384,-451253,62901,-159813
52,-510120,-428293,69081,-165647
53,-500148,-422343,63355,-182287
54,-506366,-434871,74483,-161633
55,-512130,-442661,69169,-152881
56,-508296,-425723,70179,-165077
57,-502892,-421371,59763,-185317
58,-506196,-431351,72231,-162271
59,-515812,-442521,66123,-152447
60,-509504,-423443,69923,-164025
61,-499960,-420463,58377,-184653
62,-507676,-432239,65957,-166805
63,-518206,-445823,61511,-158819
64,-509106,-424561,66995,-168585
65,-503846,-424365,55411,-187405
66,-503744,-430967,71391,-160377
67,-517336,-443937,62925,-156315
68,-509164,-426813,69713,-169035
69,-506608,-426083,52183,-191247
70,-514286,-442917,64819,-171957
71,-520440,-448601,62137,-159251
72,-514344,-431547,61885,-176101
73,-499768,-423843,57457,-186119
74,-505752,-433505,70927,-162965
75,-512532,-441567,72061,-152475
76,-502794,-421033,74383,-163407
77,-502172,-422089,60285,-184417
78,-509020,-434647,71291,-163187
79,-517714,-443769,68895,-151841
80,-509418,-423887,68745,-172359
81,-504642,-446231,-60017,-280377
82,-524514,-443815,19943,-194013
83,-489494,-319433,209799,-148175
84,-488740,-470407,386065,-374327
85,-536710,-538023,508379,-125219
86,-529066,-413863,687033,-57079
87,-482772,-314223,764669,-126981
88,-493734,-483799,864159,113401
89,-546154,-536845,1048473,-112507
90,-527508,-411019,1229665,-43315
91,-480912,-311317,1296445,-121495
92,-493562,-485385,1353381,89073
93,-539912,-528709,1593363,-98139
94,-517206,-402707,1779447,-22479
95,-474096,-306267,1829973,-112937
96,-485114,-483477,1861199,74457
97,-538962,-523717,1609449,-83479
98,-522074,-403293,1793189,-12007
99,-476708,-309109,1821895,-124013
100,-491560,-495045,1829823,46655
101,-541700,-525455,1605503,-85017
102,-524010,-396345,1822407,9229
103,-480090,-312199,1812659,-128281
104,-497922,-496275,1824729,45091
105,-543474,-522945,1614039,-73319
106,-521132,-398355,1817987,8893
107,-522900,-397541,1815921,17359
108,-515868,-381397,1806611,-9273
109,-515106,-387607,1793995,-21809
110,-518792,-395429,1805811,2711
111,-535514,-410963,1791031,2499
112,-525816,-389489,1788369,-21703
113,-524706,-397749,1774373,-39077
114,-529048,-404883,1785157,-8713
115,-523128,-405295,1777899,-20523
116,-529214,-416821,1786651,5747
117,-535852,-421243,1783855,8115
118,-520022,-398061,1789057,-5221
119,-518116,-403959,1778937,-14203
120,-521892,-409745,1790093,8083
121,-531058,-418407,1784715,14959
122,-521606,-398347,1783317,-7785
123,-518904,-403987,1780155,-11827
124,-524790,-414467,1786869,6507
125,-531024,-420879,1781985,12077
126,-526500,-404243,1777989,-9341
