0,-285192,-536434,-134342,-349714
1,-331222,-560312,-196512,-398272
2,-396114,-591614,-268210,-429036
3,-409428,-593622,-294346,-472820
4,-264622,-533862,-163714,-363480
5,-302696,-570722,-200632,-403184
6,-357404,-587370,-300866,-447544
7,-341988,-577836,-328408,-481576
8,-359684,-617876,-106294,-325234
9,-314788,-515686,-195938,-404534
10,-349496,-533418,-289706,-458826
11,-343882,-578864,-313332,-466846
12,-344586,-538196,-135518,-361590
13,-323856,-556702,-172888,-375748
14,-323206,-643634,-290638,-408046
15,-380124,-665782,-302464,-422424
16,-196398,-903464,-171040,-416424
17,-231068,-995936,-148088,-373166
18,-373570,-1090644,-271244,-452038
19,-327008,-1082110,-334774,-449918
20,-257364,-1050022,-128232,-351640
21,-251384,-1038986,-180702,-362796
22,-259260,-1042448,-267174,-418994
23,-264024,-1079120,-321024,-472412
24,-182058,-947550,-159720,-376400
25,-266972,-1020680,-168344,-398520
26,-349756,-1108976,-260706,-443020
27,-240068,-1022428,-338174,-469916
28,-244202,-1040778,-163028,-367762
29,-233852,-1029334,-177502,-385904
30,-317018,-1078712,-263532,-400322
31,-243296,-974550,-327318,-501688
32,-201068,-970054,-134722,-383678
33,-207534,-990656,-184918,-392482
34,-318582,-1034398,-266470,-442158
35,-295724,-1093116,-297832,-445310
36,-167732,-996554,-171976,-367280
37,-209310,-1008486,-178836,-375488
38,-296065,-500239,-242471,-7
39,-296065,-500239,-242471,-1680
40,-296065,-500239,-242471,-429893
41,-382771,-567583,-285951,-471581
42,-133139,-390169,-176605,-386817
43,-185983,-452377,-174217,-371759
44,-253455,-504921,-289817,-442669
45,-282831,-535073,-328701,-476259
46,-254159,-501463,-159795,-384179
47,-294647,-539251,-152637,-371011
48,-310415,-546589,-257049,-435277
49,-307643,-562459,-315073,-453945
50,-188437,-469897,-151367,-383083
51,-162947,-498293,-179285,-371069
52,-234191,-555231,-299005,-444029
53,-266013,-657525,-304895,-440517
54,-157043,-526211,-178567,-388473
55,-158729,-496039,-175277,-391849
56,-218673,-526187,-260087,-455211
57,-202241,-602163,-332009,-469581
58,-135211,-476155,-155169,-391841
59,-89125,-477775,-158165,-372215
60,-147051,-574685,-269541,-408793
61,-207657,-543085,-315281,-496037
62,-148761,-504791,-131781,-386743
63,-157281,-515917,-151251,-377481
64,-86629,-517025,-309173,-440285
65,-91289,-544303,-362353,-478797
66,-108171,-536539,-166909,-381119
67,-156659,-550881,-139955,-338617
68,-106985,-555451,-257129,-440925
69,-105769,-478533,-314531,-475077
70,-89165,-396959,-150019,-405945
71,-61997,-481525,-169529,-376351
72,-166765,-529015,-240143,-433919
73,-119165,-506277,-336807,-476075
74,-31401,-419777,-166919,-386549
75,-79883,-454799,-129387,-336945
76,-109017,-561881,-252899,-379569
77,-141933,-527037,-334207,-497535
78,-77613,-445959,-168725,-358865
79,-39309,-464515,-167665,-383757
80,-119593,-455723,-260683,-444143
81,-98317,-453891,-332241,-463705
82,-76059,-442521,-150613,-357357
83,-107029,-475453,-131593,-348257
84,-158957,-454717,-222733,-402841
85,-100641,-513557,-326751,-458225
86,20431,-406031,-179077,-359473
87,-51863,-423207,-139051,-345059
88,-93415,-500931,-255067,-407015
89,-89657,-433803,-346259,-485921
90,-42865,-386555,-162279,-378485
91,-51517,-402609,-140697,-348045
92,-145973,-507437,-232325,-394389
93,-125793,-492901,-314877,-462571
94,-112585,-428439,-159627,-366403
95,-247213,-538407,-70055,-318099
96,-76543,-401321,-281577,-425093
97,-85577,-411323,-316521,-447807
98,-25151,-350189,-196443,-381745
99,-87527,-392129,-159135,-366125
100,-153435,-454795,-258675,-419255
101,-199337,-483603,-315709,-458737
102,-175541,-478931,-170409,-376055
103,-161731,-407775,-150429,-379055
104,-197689,-482863,-258719,-426701
105,-238099,-486801,-324225,-479679
106,-190855,-473251,-175575,-372443
107,-164923,-450719,-142943,-373457
108,-179505,-487367,-291701,-436255
109,-213275,-496817,-329417,-482445
110,-235857,-439895,-150139,-389115
111,-121215,-411105,-161181,-366531
112,-154969,-489763,-255679,-407617
113,-252135,-508157,-320663,-471851
114,-203117,-469883,-150925,-386617
115,-170095,-463537,-127651,-354173
116,-192585,-430755,-253969,-429497
117,-198807,-488221,-343281,-475473
118,-134523,-420755,-177347,-376197
119,-149679,-430213,-121599,-338187
120,-245545,-497105,-234191,-428451
121,-213137,-486261,-328301,-461665
122,-127245,-458539,-185695,-374233
123,-109921,-423417,-132301,-358439
124,-189733,-484209,-252499,-426243
125,-229617,-538045,-329925,-456597
126,-232685,-453055,-128067,-410093
127,-123175,-442625,-104155,-344015
128,-50559,-455367,-264541,-389165
129,-129999,-496511,-327485,-444469
130,-100217,-445463,-169999,-400975
131,-102569,-449589,-114045,-348561
132,-118795,-507235,-203341,-386861
133,-138669,-487769,-311475,-472335
134,-106195,-467047,-168497,-392649
135,-73727,-458217,-109683,-341693
136,-109797,-465805,-217941,-389739
137,-137385,-486169,-327811,-448423
138,-141427,-498171,-137039,-363437
139,-53365,-453545,-132905,-360173
140,-198063,-591785,-201039,-345081
141,-125293,-472141,-344771,-489675
142,-78273,-425887,-176177,-402401
143,-69691,-416269,-136411,-365881
144,-167507,-466011,-205921,-409115
145,-230537,-496297,-291423,-438099
146,-106551,-499445,-181133,-370975
147,-89391,-464483,-112745,-317551
148,-112293,-509639,-205935,-402959
149,-121721,-420979,-335913,-497899
150,-124313,-460437,-170639,-407595
151,-148691,-429157,-105053,-363083
152,-151605,-468161,-211575,-405345
153,-153755,-529913,-354575,-425081
154,-94351,-455563,-180877,-407595
155,-135157,-369939,-101101,-393517
156,-158863,-389847,-243939,-426113
157,-135225,-402649,-354893,-477227
158,-205767,-401793,-181407,-417701
159,-144965,-338571,-111263,-382809
160,-170525,-398913,-223173,-406649
161,-229243,-472853,-336611,-418943
162,-184645,-350673,-182135,-443893
163,-177725,-402869,-109707,-342647
164,-114039,-333409,-244331,-415041
165,-188889,-394197,-335059,-463199
166,-180713,-315313,-175189,-427991
167,-147289,-343999,-75453,-355231
168,-83167,-321941,-252673,-391021
169,-172097,-395911,-302449,-441059
170,-166717,-356749,-181651,-381059
171,-86081,-276859,-92283,-339933
172,-72111,-302235,-199981,-376801
173,-186565,-370661,-311137,-450535
174,-109143,-329455,-181703,-413771
175,-48449,-268493,-120111,-349019
176,-117955,-336883,-215903,-383927
177,-216675,-372765,-285129,-466451
178,-129783,-368605,-212233,-389231
179,-86613,-301007,-95777,-352621
180,-133309,-353369,-198143,-382149
181,-94545,-414927,-344307,-455609
182,-77063,-322039,-203069,-396705
183,-18205,-236077,-122295,-352817
184,-93497,-345395,-215433,-407811
185,-89245,-368047,-322705,-441153
186,-99269,-377131,-193143,-389633
187,10931,-294497,-144381,-341037
188,-3495,-313855,-232835,-397459
189,-58417,-378449,-315945,-419759
190,-91345,-296057,-200159,-423931
191,-28215,-344159,-100097,-324185
192,4083,-296547,-233205,-398367
193,-114227,-345351,-313601,-438169
194,27913,-331171,-256865,-412715
195,6179,-238119,-128279,-345663
196,-46515,-297483,-202609,-397869
197,-88521,-310213,-311779,-458549
198,-21147,-293519,-250777,-415783
199,-66353,-273703,-84941,-335919
200,-35839,-334333,-171065,-344541
201,-18059,-312857,-345533,-448203
202,-19985,-285697,-242269,-408151
203,-30207,-294771,-114013,-342713
204,-121529,-272657,-155543,-385319
205,-50841,-296197,-304377,-436083
206,-37539,-277299,-260985,-412183
207,-22045,-279419,-115909,-330923
208,-15645,-270899,-212837,-382605
209,-88839,-320295,-320111,-453213
210,-96535,-369551,-230201,-387519
211,-53713,-259195,-112493,-368687
212,-82323,-301095,-199235,-390679
213,-190419,-476805,-272487,-412733
214,-55385,-228199,-271215,-448427
215,-39741,-260307,-125675,-344613
216,-106615,-294021,-210983,-394401
217,-149043,-338603,-308331,-460489
218,-155607,-345371,-249417,-427251
219,-143925,-360205,-95223,-329043
220,-109057,-328205,-213209,-382031
221,-186051,-374773,-313493,-444701
222,-137271,-300599,-261401,-449959
223,-119897,-306303,-122251,-364321
224,-175251,-343329,-183205,-388651
225,-245139,-400587,-303353,-439691
226,-200611,-455205,-246257,-384193
227,-182183,-336903,-96483,-351379
228,-129661,-281867,-207261,-397919
229,-193123,-361057,-317233,-442601
230,-164685,-336121,-262941,-435209
231,-140151,-317143,-108971,-336625
